orbit_lengths	representatives
2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,12,12,12,12,12	69
2,2,4,4,12,16,16,64	69
2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,16	69
4,4,4,12,48,48	69
4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16	69
4,8,12,24,24,48	69
2,2,4,4,8,12,12,12,32,32	68
2,6,12,12,12,12,16,48	68
3,9,12,24,72	68
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8	68
1,1,2,4,4,4,8,32,64	67
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,64	67
2,2,2,2,2,2,4,8,8,8,16,32,32	67
2,2,2,2,4,4,4,4,8,8,8,8,64	67
4,4,4,4,4,12,12,12,16,16,32	67
8,8,8,96	67
1,1,1,1,2,2,4,4,8,16,16,16,16,16,16	66
1,1,1,1,4,4,4,8,8,8,16,16,16,16,16	66
1,1,2,4,4,4,8,8,8,8,8,32,32	66
1,1,2,8,12,32,64	66
2,2,2,2,2,2,2,2,4,4,16,16,16,16,16,16	66
2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8	66
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16	66
2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,16,16	66
1,3,8,12,96	65
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,16,16,16,16	65
2,2,2,2,2,2,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8	65
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16	65
2,6,12,12,12,12,64	65
2,6,6,6,12,12,12,16,48	65
1,1,1,1,2,2,4,4,4,4,16,16,32,32	64
2,16,18,36,48	64
2,18,36,64	64
2,2,4,4,8,12,16,24,48	64
2,2,4,4,8,12,24,64	64
2,24,30,64	64
2,4,18,24,36,36	64
2,6,12,16,36,48	64
12,108	63
2,2,2,2,2,2,4,4,4,4,4,8,8,8,16,16,32	63
2,2,2,2,2,2,4,4,4,8,8,8,8,8,8,16,16,16	63
2,2,2,2,2,2,4,8,32,32,32	63
2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,16,16,16	63
2,4,6,12,12,12,24,24,24	63
4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,16,16,16	63
4,4,4,4,4,4,4,4,4,4,8,8,64	63
8,12,12,16,16,24,32	63
1,1,1,1,2,2,8,8,8,8,8,8,16,16,16,16	62
2,2,2,2,2,2,4,4,4,32,32,32	62
2,2,2,2,8,8,8,8,8,8,8,8,8,8,16,16	62
2,2,4,4,4,4,12,12,12,16,16,16,16	62
2,2,4,4,8,8,8,12,12,12,16,16,16	62
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8	61
2,2,4,8,8,8,8,8,8,8,8,8,8,16,16	61
2,4,10,20,20,64	61
1,1,1,1,2,2,4,4,4,4,16,16,16,16,16,16	60
2,2,4,4,4,4,6,6,12,12,64	60
4,4,4,6,6,8,8,8,24,24,24	60
1,1,3,3,16,24,24,48	59
2,2,2,2,2,2,4,4,4,8,8,16,16,16,16,16	59
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8	59
2,2,4,4,4,4,4,4,4,4,4,8,8,32,32	59
2,2,6,6,8,12,12,24,24,24	59
4,8,12,12,12,36,36	59
2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,16	58
2,2,4,4,4,8,8,8,8,8,8,8,8,8,8,8,16	58
4,12,20,24,60	58
6,6,54,54	58
1,1,1,1,2,2,2,2,4,4,4,8,8,8,8,16,16,16,16	57
1,1,2,3,3,4,4,6,8,8,8,12,12,24,24	57
1,1,2,4,4,6,6,8,12,12,32,32	57
2,2,2,2,4,6,6,8,12,12,32,32	57
2,2,4,4,8,8,8,12,12,12,24,24	57
4,4,12,12,24,64	57
4,4,4,6,6,8,8,8,12,12,24,24	57
4,4,8,8,96	57
4,6,6,8,8,16,16,24,32	57
1,1,2,8,8,12,16,24,48	56
1,1,2,8,8,12,24,64	56
12,20,24,24,40	56
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,16,16,16,16	56
