rep_id	order	composition_factor_count	is_abelian	is_nonabelian_simple	structure
3740	2880	4	false	false	
3741	2880	4	false	false	
3742	2880	4	false	false	
3743	2880	4	false	false	
3744	2880	4	false	false	
3745	2880	4	false	false	
3746	2880	4	false	false	
3747	2880	4	false	false	
3748	2880	4	false	false	
3749	2880	4	false	false	
3750	2880	4	false	false	
3751	2880	4	false	false	
3752	2880	4	false	false	
3753	2880	4	false	false	
3754	2880	4	false	false	
3755	2880	4	false	false	
3756	2880	4	false	false	
3757	2880	4	false	false	
3758	2880	4	false	false	
3759	2880	4	false	false	
3760	2880	4	false	false	
3761	2880	4	false	false	
3762	2880	4	false	false	
3763	2880	4	false	false	
3764	2880	4	false	false	
3765	2880	4	false	false	
3766	2880	4	false	false	
3767	2880	6	false	false	
3768	2880	4	false	false	
3769	2880	4	false	false	
3806	3840	7	false	false	
3807	3840	7	false	false	
3808	3840	7	false	false	
3809	3840	7	false	false	
3810	3840	7	false	false	
3811	3840	7	false	false	
3812	3840	7	false	false	
3813	3840	7	false	false	
3814	3840	7	false	false	
3815	4320	4	false	false	
3816	5760	7	false	false	
3817	5760	7	false	false	
3818	5760	7	false	false	
3819	5760	7	false	false	
3823	720	4	false	false	
3880	1344	4	false	false	
3928	1920	6	false	false	
3930	1920	6	false	false	
3940	2880	6	false	false	
3941	2880	6	false	false	
3942	2880	6	false	false	
3943	2880	6	false	false	
3944	2880	6	false	false	
3945	2880	6	false	false	
3946	2880	6	false	false	
3947	2880	6	false	false	
3948	2880	6	false	false	
3949	2880	6	false	false	
3950	2880	6	false	false	
3951	2880	6	false	false	
3952	2880	6	false	false	
3953	2880	6	false	false	
3954	2880	6	false	false	
3955	2880	6	false	false	
3956	2880	6	false	false	
3957	2880	6	false	false	
3958	2880	6	false	false	
3959	2880	6	false	false	
3983	3840	7	false	false	
3984	3840	7	false	false	
3985	3840	7	false	false	
3986	5760	7	false	false	
4002	3840	7	false	false	
4003	3840	7	false	false	
4004	3840	7	false	false	
4005	3840	7	false	false	
4006	3840	7	false	false	
4007	3840	7	false	false	
4014	4320	6	false	false	
4015	4320	6	false	false	
4016	4320	6	false	false	
4017	4320	6	false	false	
4018	4320	6	false	false	
4019	4320	6	false	false	
4020	4320	6	false	false	
4021	4320	6	false	false	
4022	4320	6	false	false	
4023	4320	6	false	false	
4024	4320	6	false	false	
4025	4320	6	false	false	
4113	5760	5	false	false	
4114	5760	5	false	false	
4115	5760	5	false	false	
4116	5760	5	false	false	
4117	5760	5	false	false	
4118	5760	5	false	false	
4119	5760	5	false	false	
4120	5760	5	false	false	
4121	5760	5	false	false	
4122	5760	5	false	false	
4123	5760	5	false	false	
4124	5760	5	false	false	
4125	5760	5	false	false	
4126	5760	5	false	false	
4127	6048	1	false	true	PSU(3,3)
4336	8640	5	false	false	
4337	8640	5	false	false	
4338	8640	5	false	false	
4339	8640	5	false	false	
4340	8640	5	false	false	
4341	8640	5	false	false	
4342	8640	5	false	false	
4343	8640	5	false	false	
4344	8640	5	false	false	
4345	8640	5	false	false	
4346	8640	5	false	false	
